Donor,Deflatorvalue
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,1.0154
21 Century Unification Service Organization,1.0154
3Com,1.0154
3M,1.0154
A Call to Serve InterNational,1.0154
AABO AKADEMI UNIVERSITY,1.0154
Aadamiga USA,1.0154
AAGAHI,1.0154
Aamin Voluntary Relief Organization,1.0154
AAP,1.0154
AAPKI Foundation,1.0154
AASAA,1.0154
Aayo Development Foundation,1.0154
Abbott Laboratories,1.0154
ABC Children's Aid,1.0154
Abdul Latif Jameel Group,1.0154
Abo Akademi University,1.0154
Abraham's Oasis,1.0154
Abt Associates,1.0154
Abu Dhabi National Energy Company,1.0154
Abu Dhabi Tourism Authority,1.0154
Abyei Community Action for Development,1.0154
Academy Charity Teaching Hospital,1.0154
Academy for Educational Development,1.0154
ACBAR - Agency Coordinating Body for Afghan Relief,1.0154
Accenture,1.0154
Access Aid and Development,1.0154
Access Development and Relief Organization,1.0154
Access Relief and Development,1.0154
Access to Quality Education Program,1.0154
Accio Solidaria IGMAN,1.0154
Accion Contra el Hambre,1.0154
ACDI/VOCA,1.0154
ACE Charitable Foundation,1.0154
Aceh’s People Forum,1.0154
ACF - Canada,1.0154
ACF - France,1.0154
ACF - Spain,1.0154
ACF - UK,1.0154
ACF - USA,1.0154
ACFOA,1.0154
ACH - UK,1.0154
ACH-UK/INTERMON,1.0154
ACT Alliance,1.0154
ACT Alliance ,1.0154
ACT Alliance / Act for Peace,1.0154
ACT Alliance / Amity Foundation,1.0154
ACT Alliance / Bread for the World,1.0154
ACT Alliance / Canadian Lutheran World Relief,1.0154
ACT Alliance / Christian Aid,1.0154
ACT Alliance / Christian Aid Ministries Nehemia,1.0154
ACT Alliance / Christian Aid UK,1.0154
ACT Alliance / Christian Care,1.0154
ACT Alliance / Christian Commission for Development in Bangladesh,1.0154
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),1.0154
ACT Alliance / Church of Sweden,1.0154
ACT Alliance / Church World Service,1.0154
ACT Alliance / Church World Service - Indonesia,1.0154
ACT Alliance / DanChurchAid,1.0154
"ACT Alliance / Diakonia, Sweden",1.0154
ACT Alliance / Diakonie,1.0154
ACT Alliance / Diakonie Austria,1.0154
ACT Alliance / Diakonie Emergency Aid,1.0154
ACT Alliance / Ethiopian Orthodox Church,1.0154
ACT Alliance / Finn Church Aid,1.0154
ACT Alliance / Finnchurchaid/ Mines Advisory Group,1.0154
ACT Alliance / Hungarian Interchurch Aid,1.0154
ACT Alliance / Icelandic Church Aid,1.0154
ACT Alliance / Interchurch Organisation for Development Co-operation,1.0154
ACT Alliance / Kerk in Actie - Netherlands,1.0154
ACT Alliance / Life With Dignity,1.0154
ACT Alliance / Lutheran Development Service,1.0154
ACT Alliance / Lutheran World Federation,1.0154
ACT Alliance / Lutheran World Relief,1.0154
ACT Alliance / Lutheran World Relief (LWR/Canada),1.0154
ACT Alliance / National Council of Churches of Kenya,1.0154
ACT Alliance / Norwegian Church Aid,1.0154
ACT Alliance / Presbyterian Disaster Assistance,1.0154
ACT Alliance / Solidarité Protestante,1.0154
ACT Alliance / Sudan Council of Churches,1.0154
ACT Alliance / United Church of Canada,1.0154
ACT Alliance / United Methodist Committee on Relief,1.0154
ACT Alliance / World Renew,1.0154
ACT Alliance / YAKKUM Emergency Unit,1.0154
ACT Netherlands,1.0154
ACT/Diakonie,1.0154
Actavis Group,1.0154
Actelion,1.0154
Action Against Disasters Somalia,1.0154
Action Against Hunger,1.0154
Action Aid,1.0154
Action by Churches Together (ACT),1.0154
Action Contre la Faim,1.0154
Action contre la Faim / contra Hambre / Against Hunger,1.0154
Action Contre la Faim-Espagne,1.0154
Action Contre la Faim-France,1.0154
Action Contre la Pauvreté (ACP),1.0154
Action de Dévelopement Durable en Afrique,1.0154
Action de lutte contre la pollution des sources et des puits,1.0154
Action d'Espoir,1.0154
Action d'Urgence InterNational,1.0154
Action for Community Transformation Organization - Afghanistan,1.0154
Action for Independent Media,1.0154
Action for Relief and Development,1.0154
Action for Youth & Environmental Development,1.0154
Action on Armed Violence,1.0154
Action pour le Bien Etre Communautaire (ABC),1.0154
Action pour le Développement Intégral au Kivu,1.0154
Action pour un Monde Uni,1.0154
Action Solidarité Tiers Monde,1.0154
ActionAid,1.0154
ActionAid InterNational NEPAL,1.0154
ACTIONAID InterNational ZIMBABWE,1.0154
ActionAid-Uganda,1.0154
Actions et Interventions pour le Développement et l'Encadrement Social,1.0154
Actions Médicales InterNationale,1.0154
Actions pour la Protection et l’Encadrement de l’Enfant,1.0154
Actions pour le Developpement Integre en Mileu Rural,1.0154
Active Development Aid,1.0154
Active in Development Association,1.0154
Active Learning Network for Accountability and Performance,1.0154
ACU/START,1.0154
Acumet Catholic Parish,1.0154
Ad Council,1.0154
ADA,1.0154
Adam's Peak,1.0154
ADC Foundation,1.0154
Admira,1.0154
Adobe,1.0154
ADRA Cambodia,1.0154
ADRA Canada,1.0154
ADRA Denmark,1.0154
ADRA Germany,1.0154
ADRA Nepal,1.0154
ADRA PASMIC,1.0154
ADRA Sweden,1.0154
ADRA UK,1.0154
ADRA Yemen,1.0154
ADRA Zimbabwe,1.0154
ADRA/HELP InterNational,1.0154
ADRA/SCDO,1.0154
ADRA-Haiti,1.0154
ADU_04,1.0154
Advancement for Small Enterprise Programme,1.0154
Advantest Corporation,1.0154
Advent Software,1.0154
Adventist Development and Relief Agency ,1.0154
Adventist Development and Relief Agency - Nepal,1.0154
Adventist Development and Relief Agency (New Zealand),1.0154
Aertze der Welt e.V.,1.0154
Aerzte für die Dritte Welt,1.0154
Aetna Foundation,1.0154
AFCAP,1.0154
AFD,1.0154
Afghan Center,1.0154
Afghan Development Association,1.0154
Afghan Global Development Organization,1.0154
Afghan Health & Development Services,1.0154
Afghan Health and Social Assistance Organisation,1.0154
Afghan Ministry of Planning,1.0154
Afghan Mobile Reconstruction Association,1.0154
Afghan NGO Security Office,1.0154
Afghan Reconstruction Trust Fund,1.0154
Afghan Reconstruction Trust Fund ,1.0154
Afghan Red Crescent,1.0154
Afghan Red Crescent Society,1.0154
Afghan Research and Evaluation Unit,1.0154
Afghan Social and Agricultural Affairs Rehabilitation Organization,1.0154
Afghan Technical Consultants,1.0154
Afghan Women Association for Rehabilitation & Development,1.0154
Afghanaid,1.0154
Afghanischer Arzteverein in Deutschland e.V.,1.0154
Afghanistan,0.9161
Afghanistan Demain,1.0154
Afghanistan Development & Educational Organization,1.0154
Afghanistan Independent Human Rights Commission,1.0154
Afghanistan Landmine Survivors' Organisation,1.0154
Afghanistan Solidarity Organization,1.0154
Afghanistan-Hilfe e.V.,1.0154
Afkar Society for Development and Humanitarian Relief,1.0154
Aflac,1.0154
Africa 2000 Network,1.0154
Africa Centre for Holistic Management,1.0154
Africa Directo,1.0154
Africa Humanitarian Action,1.0154
Africa Muslims Agency (Johannesburg),1.0154
African Child Outreach Trust,1.0154
African Commission Human and People's Rights,1.0154
African Development and Emergency Organisation,1.0154
African Development Bank,1.0154
African Development Solutions,1.0154
African Educational Trust,1.0154
African Medical and Research Foundation,1.0154
African Mission in Burundi,1.0154
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,1.0154
African Rescue Committee,1.0154
African Revival Ministries,1.0154
African Union,1.0154
African Union Mission in Somalia,1.0154
African Union Mission in Sudan,1.0154
African Union Mission in Sudan ,1.0154
Africare,1.0154
Africare ,1.0154
Africare/Catholic Relief Services,1.0154
Afrique Verte Mali,1.0154
Afrique Verte Niger,1.0154
Aga Khan Development Network,1.0154
Aga Khan Foundation,1.0154
Aga Khan Foundation Tajikistan,1.0154
AGEF,1.0154
Agence d'Assistance aux Rapatries et Refugies au Congo,1.0154
Agencia Española de Cooperación Internacional,1.0154
Agency for Cooperation and Research in Development,1.0154
Agency for Co-operation and Research in Development,1.0154
Agency for Peace and Development,1.0154
Agency for Rehabilitation and Development,1.0154
Agency for rehabilitation and Energy-Conservation in Afghanistan,1.0154
Agency for Technical Cooperation and Development,1.0154
Agenzia Italiana Risposta Emergenze,1.0154
Agglobe Services InterNational and the Korean Unpasan General Trading Company,1.0154
AGHSAN,1.0154
Agility,1.0154
Agricultural and Environmental Development Society,1.0154
Agricultural Cooperative Development InterNational,1.0154
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,1.0154
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,1.0154
Agricultural Development Association (PARC),1.0154
Agricultural Development Organisation,1.0154
Agricultural Research Corporation,1.0154
