Donor,privatemoney
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private
21 Century Unification Service Organization,no
3Com,private
3M,private
A Call to Serve InterNational,no
AABO AKADEMI UNIVERSITY,no
Aadamiga USA,no
AAGAHI,no
Aamin Voluntary Relief Organization,no
AAP,no
AAPKI Foundation,private
AASAA,no
Aayo Development Foundation,no
Abbott Laboratories,private
ABC Children's Aid,no
Abdul Latif Jameel Group,private
Abo Akademi University,no
Abraham's Oasis,no
Abt Associates,no
Abu Dhabi National Energy Company,private
Abu Dhabi Tourism Authority,no
Abyei Community Action for Development,no
Academy Charity Teaching Hospital,no
Academy for Educational Development,no
ACBAR - Agency Coordinating Body for Afghan Relief,no
Accenture,private
Access Aid and Development,no
Access Development and Relief Organization,no
Access Relief and Development,no
Access to Quality Education Program,no
Accio Solidaria IGMAN,no
Accion Contra el Hambre,no
ACDI/VOCA,no
ACE Charitable Foundation,no
Aceh’s People Forum,no
ACF - Canada,no
ACF - France,no
ACF - Spain,no
ACF - UK,no
ACF - USA,no
ACFOA,no
ACH - UK,no
ACH-UK/INTERMON,no
ACT Alliance,no
ACT Alliance ,no
ACT Alliance / Act for Peace,no
ACT Alliance / Amity Foundation,no
ACT Alliance / Bread for the World,no
ACT Alliance / Canadian Lutheran World Relief,no
ACT Alliance / Christian Aid,no
ACT Alliance / Christian Aid Ministries Nehemia,no
ACT Alliance / Christian Aid UK,no
ACT Alliance / Christian Care,no
ACT Alliance / Christian Commission for Development in Bangladesh,no
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),no
ACT Alliance / Church of Sweden,no
ACT Alliance / Church World Service,no
ACT Alliance / Church World Service - Indonesia,no
ACT Alliance / DanChurchAid,no
"ACT Alliance / Diakonia, Sweden",no
ACT Alliance / Diakonie,no
ACT Alliance / Diakonie Austria,no
ACT Alliance / Diakonie Emergency Aid,no
ACT Alliance / Ethiopian Orthodox Church,no
ACT Alliance / Finn Church Aid,no
ACT Alliance / Finnchurchaid/ Mines Advisory Group,no
ACT Alliance / Hungarian Interchurch Aid,no
ACT Alliance / Icelandic Church Aid,no
ACT Alliance / Interchurch Organisation for Development Co-operation,no
ACT Alliance / Kerk in Actie - Netherlands,no
ACT Alliance / Life With Dignity,no
ACT Alliance / Lutheran Development Service,no
ACT Alliance / Lutheran World Federation,no
ACT Alliance / Lutheran World Relief,no
ACT Alliance / Lutheran World Relief (LWR/Canada),no
ACT Alliance / National Council of Churches of Kenya,no
ACT Alliance / Norwegian Church Aid,no
ACT Alliance / Presbyterian Disaster Assistance,no
ACT Alliance / Solidarité Protestante,no
ACT Alliance / Sudan Council of Churches,no
ACT Alliance / United Church of Canada,no
ACT Alliance / United Methodist Committee on Relief,no
ACT Alliance / World Renew,no
ACT Alliance / YAKKUM Emergency Unit,no
ACT Netherlands,no
ACT/Diakonie,no
Actavis Group,private
Actelion,private
Action Against Disasters Somalia,no
Action Against Hunger,no
Action Aid,no
Action by Churches Together (ACT),no
Action Contre la Faim,no
Action contre la Faim / contra Hambre / Against Hunger,no
Action Contre la Faim-Espagne,no
Action Contre la Faim-France,no
Action Contre la Pauvreté (ACP),no
Action de Dévelopement Durable en Afrique,no
Action de lutte contre la pollution des sources et des puits,no
Action d'Espoir,no
Action d'Urgence InterNational,no
Action for Community Transformation Organization - Afghanistan,no
Action for Independent Media,no
Action for Relief and Development,no
Action for Youth & Environmental Development,no
Action on Armed Violence,no
Action pour le Bien Etre Communautaire (ABC),no
Action pour le Développement Intégral au Kivu,no
Action pour un Monde Uni,no
Action Solidarité Tiers Monde,no
ActionAid,no
ActionAid InterNational NEPAL,no
